Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type
1254726,3/13/2016 21:35,3/13/2016 21:56,31256,10th & E St NW,31601,19th & East Capitol St SE,W00426,Registered
725636,3/13/2016 21:36,3/13/2016 21:48,31712,Oklahoma Ave & D St NE,31512,Neal St & Trinidad Ave NE,W21670,Registered
687344,3/13/2016 21:34,3/13/2016 21:45,31274,MLK Library/9th & G St NW,31202,14th & R St NW,W20744,Registered
1395620,3/13/2016 21:33,3/13/2016 21:56,31232,7th & F St NW / National Portrait Gallery,31214,17th & Corcoran St NW,W01366,Registered
1499536,3/13/2016 21:33,3/13/2016 21:58,31803,Good Hope Rd & 14th St SE,31603,1st & M St NE,W00429,Registered
1552360,3/13/2016 21:34,3/13/2016 21:59,31315,McKinley St & Connecticut Ave NW,31229,New Hampshire Ave & T St NW,W01413,Registered
492119,3/13/2016 21:32,3/13/2016 21:40,31256,10th & E St NW,31272,Washington & Independence Ave SW/HHS,W21192,Registered
829288,3/13/2016 21:32,3/13/2016 21:46,31103,16th & Harvard St NW,31304,36th & Calvert St NW / Glover Park,W20705,Registered
509518,3/13/2016 21:30,3/13/2016 21:38,31268,12th & U St NW,31509,New Jersey Ave & R St NW,W21351,Registered
237707,3/13/2016 21:30,3/13/2016 21:34,31602,Park Rd & Holmead Pl NW,31102,11th & Kenyon St NW,W22109,Registered
294764,3/13/2016 21:29,3/13/2016 21:33,31266,11th & M St NW,31267,17th St & Massachusetts Ave NW,W21885,Registered
275770,3/13/2016 21:28,3/13/2016 21:33,31638,1st & H St NW,31604,3rd & H St NW,W00868,Registered
200392,3/13/2016 21:27,3/13/2016 21:31,31639,2nd & G St NE,31624,North Capitol St & F St NW,W21041,Registered
272252,3/13/2016 21:27,3/13/2016 21:32,31201,15th & P St NW,31229,New Hampshire Ave & T St NW,W01250,Registered
437088,3/13/2016 21:26,3/13/2016 21:33,31225,C & O Canal & Wisconsin Ave NW,31275,New Hampshire Ave & 24th St NW,W20155,Registered
1720950,3/13/2016 21:26,3/13/2016 21:55,31305,Connecticut Ave & Newark St NW / Cleveland Park,31305,Connecticut Ave & Newark St NW / Cleveland Park,W20280,Registered
492704,3/13/2016 21:27,3/13/2016 21:35,31307,3000 Connecticut Ave NW / National Zoo,31104,Adams Mill & Columbia Rd NW,W21728,Registered
570392,3/13/2016 21:24,3/13/2016 21:33,31225,C & O Canal & Wisconsin Ave NW,31275,New Hampshire Ave & 24th St NW,W20814,Registered
514668,3/13/2016 21:23,3/13/2016 21:32,31268,12th & U St NW,31203,14th & Rhode Island Ave NW,W01214,Registered
1575983,3/13/2016 21:23,3/13/2016 21:50,31624,North Capitol St & F St NW,31312,Wisconsin Ave & O St NW,W22249,Casual
744169,3/13/2016 21:22,3/13/2016 21:35,31623,Columbus Circle / Union Station,31632,15th & F St NE,W20450,Registered
745930,3/13/2016 21:22,3/13/2016 21:35,31623,Columbus Circle / Union Station,31632,15th & F St NE,W00269,Casual
449885,3/13/2016 21:23,3/13/2016 21:30,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00942,Registered
310174,3/13/2016 21:21,3/13/2016 21:26,31082,Eisenhower Ave & Mill Race Ln,31048,King St Metro South,W21275,Registered
1168260,3/13/2016 21:20,3/13/2016 21:40,31600,5th & K St NW,31103,16th & Harvard St NW,W20299,Registered
449505,3/13/2016 21:18,3/13/2016 21:26,31610,Eastern Market / 7th & North Carolina Ave SE,31606,Potomac & Pennsylvania Ave SE,W20613,Registered
796533,3/13/2016 21:17,3/13/2016 21:31,31222,New York Ave & 15th St NW,31201,15th & P St NW,W20306,Registered
1187509,3/13/2016 21:15,3/13/2016 21:35,31246,M St & Pennsylvania Ave NW,31256,10th & E St NW,W00426,Registered
1018893,3/13/2016 21:15,3/13/2016 21:32,31513,Rhode Island Ave & V St NE,31612,D St & Maryland Ave NE,W00875,Registered
760702,3/13/2016 21:15,3/13/2016 21:28,31035,N Quincy St & Glebe Rd,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,W21544,Registered
1176237,3/13/2016 21:14,3/13/2016 21:33,31229,New Hampshire Ave & T St NW,31108,4th & M St SW,W00621,Registered
577480,3/13/2016 21:14,3/13/2016 21:24,31114,18th St & Wyoming Ave NW,31237,25th St & Pennsylvania Ave NW,W20146,Registered
330114,3/13/2016 21:13,3/13/2016 21:18,31218,L'Enfant Plaza / 7th & C St SW,31609,6th & Water St SW / SW Waterfront,W20385,Registered
563687,3/13/2016 21:12,3/13/2016 21:21,31256,10th & E St NW,31600,5th & K St NW,W00561,Registered
968921,3/13/2016 21:12,3/13/2016 21:28,31016,Clarendon Blvd & Pierce St,31035,N Quincy St & Glebe Rd,W00850,Registered
311776,3/13/2016 21:11,3/13/2016 21:16,31616,3rd & H St NE,31623,Columbus Circle / Union Station,W21299,Registered
800798,3/13/2016 21:10,3/13/2016 21:23,31274,MLK Library/9th & G St NW,31202,14th & R St NW,W21089,Registered
537998,3/13/2016 21:10,3/13/2016 21:19,31607,14th & D St SE,31803,Good Hope Rd & 14th St SE,W00648,Registered
110775,3/13/2016 21:10,3/13/2016 21:12,31013,23rd & Eads St,31001,18th & Eads St.,W21937,Registered
418940,3/13/2016 21:07,3/13/2016 21:14,31625,3rd & G St SE,31612,D St & Maryland Ave NE,W01230,Registered
1111988,3/13/2016 21:07,3/13/2016 21:26,31201,15th & P St NW,31107,Lamont & Mt Pleasant NW,W20437,Registered
279158,3/13/2016 21:07,3/13/2016 21:12,31110,20th St & Florida Ave NW,31101,14th & V St NW,W21677,Registered
568658,3/13/2016 21:07,3/13/2016 21:17,31094,Lee Hwy & N Kirkwood Rd,31039,N Quincy St & Wilson Blvd,W22012,Registered
531104,3/13/2016 21:06,3/13/2016 21:15,31202,14th & R St NW,31118,3rd & Elm St NW,W20857,Registered
534209,3/13/2016 21:06,3/13/2016 21:15,31202,14th & R St NW,31118,3rd & Elm St NW,W00158,Registered
955786,3/13/2016 21:06,3/13/2016 21:22,31228,8th & H St NW,31623,Columbus Circle / Union Station,W00269,Casual
939982,3/13/2016 21:06,3/13/2016 21:22,31228,8th & H St NW,31623,Columbus Circle / Union Station,W20450,Registered
271924,3/13/2016 21:05,3/13/2016 21:10,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31607,14th & D St SE,W00634,Registered
163537,3/13/2016 21:05,3/13/2016 21:08,31604,3rd & H St NW,31638,1st & H St NW,W00868,Registered
124649,3/13/2016 21:04,3/13/2016 21:06,31267,17th St & Massachusetts Ave NW,31214,17th & Corcoran St NW,W20265,Registered
441320,3/13/2016 21:03,3/13/2016 21:10,31620,5th & F St NW,31244,4th & E St SW,W21733,Registered
403953,3/13/2016 21:03,3/13/2016 21:09,31109,7th & T St NW,31281,8th & O St NW,W21477,Registered
228890,3/13/2016 21:01,3/13/2016 21:05,31223,Convention Center / 7th & M St NW,31109,7th & T St NW,W20682,Registered
400294,3/13/2016 20:59,3/13/2016 21:06,31200,Massachusetts Ave & Dupont Circle NW,31116,California St & Florida Ave NW,W20099,Registered
398840,3/13/2016 20:59,3/13/2016 21:06,31200,Massachusetts Ave & Dupont Circle NW,31116,California St & Florida Ave NW,W20651,Registered
241574,3/13/2016 20:58,3/13/2016 21:03,31606,Potomac & Pennsylvania Ave SE,31630,15th & East Capitol St NE,W21683,Registered
727411,3/13/2016 20:59,3/13/2016 21:11,31114,18th St & Wyoming Ave NW,31223,Convention Center / 7th & M St NW,W00704,Registered
434912,3/13/2016 20:57,3/13/2016 21:05,31203,14th & Rhode Island Ave NW,31222,New York Ave & 15th St NW,W20306,Registered
352958,3/13/2016 20:56,3/13/2016 21:02,31616,3rd & H St NE,31631,8th & F St NE,W01193,Registered
209291,3/13/2016 20:54,3/13/2016 20:57,31612,D St & Maryland Ave NE,31623,Columbus Circle / Union Station,W01199,Registered
4238640,3/13/2016 20:52,3/13/2016 22:02,31623,Columbus Circle / Union Station,31277,17th & G St NW,W00671,Casual
4221479,3/13/2016 20:52,3/13/2016 22:02,31623,Columbus Circle / Union Station,31277,17th & G St NW,W20402,Casual
324060,3/13/2016 20:52,3/13/2016 20:57,31233,17th & K St NW / Farragut Square,31241,Thomas Circle,W20028,Registered
634264,3/13/2016 20:52,3/13/2016 21:03,31506,1st & Rhode Island Ave NW,31624,North Capitol St & F St NW,W01320,Casual
537968,3/13/2016 20:51,3/13/2016 21:00,31605,3rd & D St SE,31634,3rd & Tingey St SE,W21949,Registered
212075,3/13/2016 20:51,3/13/2016 20:54,31630,15th & East Capitol St NE,31606,Potomac & Pennsylvania Ave SE,W21683,Registered
988410,3/13/2016 20:51,3/13/2016 21:07,31236,37th & O St NW / Georgetown University,31104,Adams Mill & Columbia Rd NW,W20938,Registered
4296372,3/13/2016 20:51,3/13/2016 22:02,31623,Columbus Circle / Union Station,31277,17th & G St NW,W20740,Casual
532584,3/13/2016 20:49,3/13/2016 20:58,31109,7th & T St NW,31201,15th & P St NW,W01250,Registered
1983595,3/13/2016 20:49,3/13/2016 21:22,31623,Columbus Circle / Union Station,31272,Washington & Independence Ave SW/HHS,W01349,Casual
417896,3/13/2016 20:49,3/13/2016 20:56,31278,18th & R St NW,31104,Adams Mill & Columbia Rd NW,W01044,Registered
1250270,3/13/2016 20:49,3/13/2016 21:10,31603,1st & M St NE,31513,Rhode Island Ave & V St NE,W22191,Registered
461964,3/13/2016 20:48,3/13/2016 20:56,31316,Yuma St & Tenley Circle NW,31301,Ward Circle / American University,W21744,Registered
2135549,3/13/2016 20:47,3/13/2016 21:22,31623,Columbus Circle / Union Station,31272,Washington & Independence Ave SW/HHS,W00546,Casual
407186,3/13/2016 20:47,3/13/2016 20:54,31104,Adams Mill & Columbia Rd NW,31107,Lamont & Mt Pleasant NW,W01398,Registered
262501,3/13/2016 20:47,3/13/2016 20:51,31631,8th & F St NE,31616,3rd & H St NE,W01193,Registered
4577880,3/13/2016 20:46,3/13/2016 22:03,31623,Columbus Circle / Union Station,31277,17th & G St NW,W21042,Casual
1504307,3/13/2016 20:45,3/13/2016 21:10,31624,North Capitol St & F St NW,31404,9th & Upshur St NW,W01334,Registered
438345,3/13/2016 20:45,3/13/2016 20:52,31623,Columbus Circle / Union Station,31610,Eastern Market / 7th & North Carolina Ave SE,W20613,Registered
746790,3/13/2016 20:45,3/13/2016 20:58,31118,3rd & Elm St NW,31116,California St & Florida Ave NW,W00494,Registered
205177,3/13/2016 20:44,3/13/2016 20:47,31623,Columbus Circle / Union Station,31631,8th & F St NE,W22177,Registered
1165635,3/13/2016 20:44,3/13/2016 21:04,31307,3000 Connecticut Ave NW / National Zoo,31117,15th & Euclid St  NW,W20112,Registered
276625,3/13/2016 20:43,3/13/2016 20:47,31117,15th & Euclid St  NW,31107,Lamont & Mt Pleasant NW,W20724,Registered
4748453,3/13/2016 20:43,3/13/2016 22:02,31623,Columbus Circle / Union Station,31277,17th & G St NW,W00514,Casual
2328106,3/13/2016 20:43,3/13/2016 21:22,31623,Columbus Circle / Union Station,31272,Washington & Independence Ave SW/HHS,W22203,Casual
336055,3/13/2016 20:41,3/13/2016 20:46,31265,5th St & Massachusetts Ave NW,31281,8th & O St NW,W01278,Registered
413436,3/13/2016 20:40,3/13/2016 20:47,31251,12th & L St NW,31278,18th & R St NW,W00712,Registered
4937022,3/13/2016 20:40,3/13/2016 22:02,31623,Columbus Circle / Union Station,31277,17th & G St NW,W21426,Casual
4043111,3/13/2016 20:40,3/13/2016 21:47,32036,Fenton St & Ellsworth Dr ,32036,Fenton St & Ellsworth Dr ,W20627,Registered
1034518,3/13/2016 20:40,3/13/2016 20:58,31104,Adams Mill & Columbia Rd NW,31236,37th & O St NW / Georgetown University,W21832,Registered
5002050,3/13/2016 20:39,3/13/2016 22:02,31623,Columbus Circle / Union Station,31277,17th & G St NW,W01223,Casual
764483,3/13/2016 20:38,3/13/2016 20:51,31610,Eastern Market / 7th & North Carolina Ave SE,31217,USDA / 12th & Independence Ave SW,W21066,Registered
635168,3/13/2016 20:37,3/13/2016 20:48,31620,5th & F St NW,31614,11th & H St NE,W20660,Registered
672722,3/13/2016 20:36,3/13/2016 20:47,31226,34th St & Wisconsin Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00191,Registered
607879,3/13/2016 20:35,3/13/2016 20:45,31270,8th & D St NW,31269,3rd St & Pennsylvania Ave SE,W21374,Registered
167666,3/13/2016 20:35,3/13/2016 20:38,31305,Connecticut Ave & Newark St NW / Cleveland Park,31307,3000 Connecticut Ave NW / National Zoo,W20112,Registered
280989,3/13/2016 20:35,3/13/2016 20:40,31205,21st & I St NW,31234,20th & O St NW / Dupont South,W00705,Registered
431901,3/13/2016 20:34,3/13/2016 20:41,31281,8th & O St NW,31604,3rd & H St NW,W22026,Registered
398039,3/13/2016 20:34,3/13/2016 20:41,31003,15th & Crystal Dr,31011,23rd & Crystal Dr,W01123,Registered
587148,3/13/2016 20:32,3/13/2016 20:42,31102,11th & Kenyon St NW,31229,New Hampshire Ave & T St NW,W20172,Registered
203544,3/13/2016 20:32,3/13/2016 20:36,31110,20th St & Florida Ave NW,31214,17th & Corcoran St NW,W20577,Registered
593142,3/13/2016 20:32,3/13/2016 20:42,31400,Georgia & New Hampshire Ave NW,31101,14th & V St NW,W20088,Registered
365222,3/13/2016 20:27,3/13/2016 20:33,31110,20th St & Florida Ave NW,31201,15th & P St NW,W21531,Registered
154899,3/13/2016 20:27,3/13/2016 20:30,31254,15th & K St NW,31241,Thomas Circle,W21303,Registered
401517,3/13/2016 20:26,3/13/2016 20:33,31616,3rd & H St NE,31512,Neal St & Trinidad Ave NE,W20737,Registered
425006,3/13/2016 20:25,3/13/2016 20:32,31111,10th & U St NW,31114,18th St & Wyoming Ave NW,W00410,Registered
447180,3/13/2016 20:25,3/13/2016 20:32,31640,Maryland Ave & E St NE,31624,North Capitol St & F St NW,W00430,Registered
4020634,3/13/2016 20:24,3/13/2016 21:31,31248,Smithsonian / Jefferson Dr & 12th St SW,31248,Smithsonian / Jefferson Dr & 12th St SW,W22218,Casual
132733,3/13/2016 20:24,3/13/2016 20:26,31281,8th & O St NW,31223,Convention Center / 7th & M St NW,W00886,Registered
800419,3/13/2016 20:24,3/13/2016 20:38,31621,4th & D St NW / Judiciary Square,31108,4th & M St SW,W21450,Registered
4079194,3/13/2016 20:23,3/13/2016 21:31,31248,Smithsonian / Jefferson Dr & 12th St SW,31248,Smithsonian / Jefferson Dr & 12th St SW,W21165,Casual
345794,3/13/2016 20:23,3/13/2016 20:29,31616,3rd & H St NE,31600,5th & K St NW,W20836,Registered
1022491,3/13/2016 20:24,3/13/2016 20:41,31242,18th St & Pennsylvania Ave NW,31107,Lamont & Mt Pleasant NW,W01416,Registered
155118,3/13/2016 20:22,3/13/2016 20:25,31632,15th & F St NE,31617,Bladensburg Rd & Benning Rd NE,W00502,Registered
504565,3/13/2016 20:21,3/13/2016 20:29,31267,17th St & Massachusetts Ave NW,31257,22nd & I St NW / Foggy Bottom,W00008,Registered
1318586,3/13/2016 20:21,3/13/2016 20:43,31254,15th & K St NW,31619,Lincoln Park / 13th & East Capitol St NE ,W20645,Registered
172802,3/13/2016 20:21,3/13/2016 20:24,31203,14th & Rhode Island Ave NW,31202,14th & R St NW,W00319,Registered
303167,3/13/2016 20:21,3/13/2016 20:26,31615,6th & H St NE,31627,M St & Delaware Ave NE,W00602,Registered
298107,3/13/2016 20:21,3/13/2016 20:26,31251,12th & L St NW,31265,5th St & Massachusetts Ave NW,W21246,Registered
1103250,3/13/2016 20:21,3/13/2016 20:40,31103,16th & Harvard St NW,31502,John McCormack Dr & Michigan Ave NE,W21507,Registered
798061,3/13/2016 20:21,3/13/2016 20:34,31627,M St & Delaware Ave NE,31619,Lincoln Park / 13th & East Capitol St NE ,W00593,Registered
325075,3/13/2016 20:19,3/13/2016 20:24,31115,Columbia Rd & Georgia Ave NW,31103,16th & Harvard St NW,W00654,Registered
547939,3/13/2016 20:19,3/13/2016 20:28,31035,N Quincy St & Glebe Rd,31022,Clarendon Metro / Wilson Blvd & N Highland St,W20072,Registered
228298,3/13/2016 20:18,3/13/2016 20:22,31229,New Hampshire Ave & T St NW,31201,15th & P St NW,W20047,Registered
245909,3/13/2016 20:17,3/13/2016 20:21,31639,2nd & G St NE,31631,8th & F St NE,W20493,Registered
344313,3/13/2016 20:17,3/13/2016 20:23,31258,Lincoln Memorial,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W01414,Casual
330726,3/13/2016 20:18,3/13/2016 20:23,31258,Lincoln Memorial,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W20295,Casual
989427,3/13/2016 20:15,3/13/2016 20:31,31212,21st & M St NW,31265,5th St & Massachusetts Ave NW,W00254,Registered
1452015,3/13/2016 20:15,3/13/2016 20:39,31037,Ballston Metro / N Stuart & 9th St N,31246,M St & Pennsylvania Ave NW,W00426,Registered
202069,3/13/2016 20:16,3/13/2016 20:19,31627,M St & Delaware Ave NE,31505,Eckington Pl & Q St NE,W21998,Registered
438820,3/13/2016 20:14,3/13/2016 20:21,31265,5th St & Massachusetts Ave NW,31615,6th & H St NE,W20071,Registered
344900,3/13/2016 20:14,3/13/2016 20:20,31022,Clarendon Metro / Wilson Blvd & N Highland St,31030,Lee Hwy & N Adams St,W21163,Registered
142963,3/13/2016 20:13,3/13/2016 20:15,31114,18th St & Wyoming Ave NW,31110,20th St & Florida Ave NW,W20647,Registered
719827,3/13/2016 20:12,3/13/2016 20:24,31201,15th & P St NW,31506,1st & Rhode Island Ave NW,W20895,Registered
461369,3/13/2016 20:12,3/13/2016 20:20,31605,3rd & D St SE,31264,6th St & Indiana Ave NW,W01445,Registered
384745,3/13/2016 20:12,3/13/2016 20:19,31612,D St & Maryland Ave NE,31625,3rd & G St SE,W01230,Registered
480236,3/13/2016 20:11,3/13/2016 20:19,31602,Park Rd & Holmead Pl NW,31111,10th & U St NW,W20986,Registered
